ticker,name,sector33,price,ma25,ma75,price_above_ma25,ma25_above_ma75,cross_status,adx14,plus_di,minus_di,obv_confirm,adx_early_signal,rsi14,macd,macd_signal,macd_hist,atr14,score
9706.T,日本空港ビルデング,不動産業,5661.0,5564.5,5149.1,True,True,-,28.0,23.2,19.3,True,False,58.1,125.9,149.29,-23.38,142.7,4.12
6758.T,ソニーグループ,電気機器,3912.0,3594.7,3458.7,True,True,-,27.8,32.2,13.3,True,False,67.9,106.51,85.87,20.65,128.8,4.11
4202.T,ダイセル,化学,1488.5,1461.4,1348.4,True,True,-,27.8,26.4,14.2,True,False,61.8,21.41,22.52,-1.1,33.7,4.11
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,陸運業,5684.0,5412.5,5075.0,True,True,-,27.4,31.4,14.2,True,False,63.7,87.34,52.11,35.22,163.7,4.1
8053.T,住友商事,卸売業,1791.0,1653.8,1667.3,True,False,接近中,27.4,29.4,9.3,True,True,71.2,52.15,37.44,14.71,51.1,4.1
4194.T,ビジョナル,情報・通信業,9347.0,8766.2,8018.1,True,True,-,27.6,34.5,18.4,True,False,64.9,288.99,272.66,16.33,322.1,4.1
2607.T,不二製油,食料品,4546.0,4070.6,3785.6,True,True,-,27.3,42.7,12.6,True,True,71.7,156.38,97.47,58.91,152.8,4.09
4927.T,ポーラ・オルビスホールディングス,化学,1408.5,1351.0,1289.8,True,True,-,27.3,32.9,17.7,True,False,62.8,28.66,23.32,5.34,31.0,4.09
4665.T,ダスキン,サービス業,4584.0,4492.5,4269.5,True,True,-,27.3,36.1,20.6,True,False,59.0,40.3,32.7,7.6,98.8,4.09
6724.T,セイコーエプソン,電気機器,3171.0,2994.8,2786.9,True,True,-,27.2,26.5,12.7,True,True,62.4,91.97,81.92,10.06,96.4,4.09
7616.T,コロワイド,小売業,2059.5,2012.2,1882.5,True,True,-,27.3,31.8,15.9,True,False,58.0,41.73,45.63,-3.9,51.6,4.09
4543.T,テルモ,精密機器,2672.5,2338.3,2251.4,True,True,-,27.1,40.0,12.0,True,True,74.5,102.45,62.55,39.91,82.9,4.08
7532.T,パン・パシフィック・インターナショナルホールディングス,小売業,926.4,897.0,862.6,True,True,-,26.7,30.1,15.4,True,False,59.5,17.06,16.45,0.61,26.2,4.07
7752.T,リコー,電気機器,1678.0,1577.9,1483.3,True,True,-,26.4,29.7,13.4,True,False,66.9,41.68,34.88,6.79,45.3,4.06
6951.T,日本電子,電気機器,8847.0,8292.0,7367.9,True,True,-,26.4,35.4,15.1,True,False,61.9,302.7,269.71,33.0,367.0,4.06
6592.T,マブチモーター,電気機器,1742.0,1650.8,1577.6,True,True,-,26.2,29.4,8.6,True,False,69.3,30.02,23.67,6.35,45.7,4.05
7751.T,キヤノン,電気機器,4656.0,4512.4,4281.8,True,True,-,26.3,31.6,14.3,True,False,60.7,71.48,67.45,4.03,98.1,4.05
8729.T,ソニーフィナンシャルグループ,保険業,155.8,155.8,146.8,True,True,-,26.3,25.0,13.9,True,False,54.1,1.26,1.83,-0.57,3.5,4.05
5830.T,いよぎんホールディングス,銀行業,3964.0,3591.8,3278.0,True,True,-,26.1,36.0,12.4,True,False,69.5,159.09,133.42,25.66,138.7,4.04
4612.T,日本ペイントホールディングス,化学,1238.5,1175.7,1074.9,True,True,-,25.8,27.7,19.8,True,False,62.4,42.62,43.97,-1.35,36.6,4.03
8088.T,岩谷産業,卸売業,2249.5,2055.2,1983.5,True,True,-,25.7,30.7,11.9,True,True,71.0,70.87,49.84,21.03,65.6,4.03
3402.T,東レ,繊維製品,1354.5,1212.4,1162.8,True,True,-,25.4,35.6,13.3,True,True,72.7,54.87,36.55,18.33,40.2,4.02
7912.T,大日本印刷,その他製品,3315.0,3113.0,2936.8,True,True,-,25.4,32.0,14.9,True,False,70.2,68.24,38.55,29.69,92.8,4.02
2269.T,明治ホールディングス,食料品,4248.0,3881.4,3772.6,True,True,-,25.6,39.7,14.8,True,True,69.1,117.35,70.4,46.95,119.0,4.02
4188.T,三菱ケミカルグループ,化学,1208.5,1188.7,1105.1,True,True,-,25.6,28.8,13.8,True,True,54.6,18.04,16.03,2.01,40.8,4.02
2222.T,寿スピリッツ,食料品,2746.0,2584.0,2341.1,True,True,-,25.6,27.0,12.6,True,False,68.4,61.16,47.98,13.18,91.1,4.02
7956.T,ピジョン,その他製品,2113.5,2035.4,1929.3,True,True,-,25.5,27.5,13.0,True,False,62.3,27.74,19.43,8.31,50.5,4.02
2801.T,キッコーマン,食料品,1792.0,1676.6,1563.8,True,True,-,25.2,32.9,15.5,True,False,64.2,44.99,33.67,11.32,60.1,4.01
4118.T,カネカ,化学,6345.0,5829.6,5576.1,True,True,-,25.2,34.7,7.2,True,True,77.8,146.67,90.27,56.39,174.3,4.01
2212.T,山崎製パン,食料品,3544.0,3415.2,3242.6,True,True,-,25.3,33.8,18.1,True,False,58.6,68.64,65.5,3.14,108.4,4.01
4527.T,ロート製薬,医薬品,2815.5,2512.7,2436.0,True,True,-,25.0,45.1,16.5,True,True,67.5,108.32,62.85,45.47,88.4,4.0
7282.T,豊田合成,輸送用機器,5208.0,5127.0,4916.9,True,True,-,25.1,27.8,13.2,True,True,53.8,43.98,50.66,-6.68,166.8,4.0
5076.T,インフロニア・ホールディングス,建設業,2838.0,2726.1,2587.2,True,True,-,25.1,30.1,16.1,True,False,62.1,8.99,-11.08,20.07,92.2,4.0
6861.T,キーエンス,電気機器,87660.0,79090.8,77877.5,True,True,-,24.6,32.6,19.2,True,True,66.7,3108.55,2252.44,856.11,2852.6,3.98
9107.T,川崎汽船,海運業,3030.0,2796.3,2627.7,True,True,-,24.2,36.4,14.5,True,False,70.3,85.16,72.2,12.97,85.1,3.97
4544.T,Ｈ．Ｕ．グループホールディングス,サービス業,3632.0,3437.7,3306.0,True,True,-,24.0,31.3,11.7,True,True,63.0,70.01,48.88,21.14,101.1,3.96
5901.T,東洋製罐グループホールディングス,金属製品,4419.0,4155.8,3964.0,True,True,-,23.8,27.2,12.7,True,True,71.2,89.72,62.46,27.27,102.4,3.95
2784.T,アルフレッサ　ホールディングス,卸売業,2250.0,2283.0,2249.5,False,True,ゴールデンクロス済み,23.6,20.5,26.2,False,False,48.8,-10.1,-0.79,-9.31,46.8,3.94
3088.T,マツキヨココカラ＆カンパニー,小売業,2516.0,2499.2,2386.0,True,True,-,23.3,29.4,19.0,True,False,52.9,17.75,23.01,-5.26,65.3,3.93
2587.T,サントリービバレッジ＆フード,食料品,4648.0,4645.3,4428.1,True,True,-,23.0,24.6,22.0,True,False,52.7,19.8,31.66,-11.86,115.7,3.92
9602.T,東宝,情報・通信業,1506.0,1458.3,1353.0,True,True,-,22.7,29.6,20.7,True,False,57.4,34.63,40.4,-5.76,52.3,3.91
4902.T,コニカミノルタ,電気機器,690.9,637.7,595.2,True,True,-,22.4,29.2,18.3,True,False,63.1,18.92,14.43,4.48,29.3,3.9
9505.T,北陸電力,電気・ガス業,967.0,936.9,893.0,True,True,-,22.6,29.1,15.4,True,False,61.4,12.29,12.41,-0.12,22.8,3.9
2897.T,日清食品ホールディングス,食料品,2970.5,2919.8,2786.7,True,True,-,22.6,28.3,17.8,True,False,54.4,29.41,31.71,-2.3,87.6,3.9
8309.T,三井住友トラストグループ,銀行業,1737.0,1683.4,1532.1,True,True,-,22.3,27.6,15.9,True,False,63.8,32.55,31.22,1.33,42.7,3.89
8308.T,りそなホールディングス,銀行業,2454.0,2318.8,2177.0,True,True,-,21.9,36.5,16.1,True,False,62.8,44.1,27.49,16.61,76.5,3.88
7167.T,めぶきフィナンシャルグループ,銀行業,1658.5,1537.3,1437.9,True,True,-,21.9,36.8,15.6,True,True,65.5,42.97,30.94,12.04,50.4,3.88
4385.T,メルカリ,情報・通信業,4851.0,4601.9,4212.8,True,True,-,22.0,27.3,16.3,True,False,60.5,135.11,112.74,22.37,220.8,3.88
8242.T,エイチ・ツー・オー　リテイリング,小売業,2867.5,2836.0,2666.9,True,True,-,22.1,27.6,15.3,True,True,56.2,17.16,21.04,-3.88,78.0,3.88
3105.T,日清紡ホールディングス,電気機器,2479.0,2286.8,2276.5,True,True,-,21.7,29.6,16.1,True,True,60.2,49.73,21.35,28.38,125.7,3.87
8341.T,七十七銀行,銀行業,3837.0,3587.8,3354.6,True,True,-,21.4,32.0,14.2,True,True,65.9,93.72,69.04,24.67,119.4,3.86
2181.T,パーソルホールディングス,サービス業,287.9,266.7,250.3,True,True,-,21.2,40.0,19.1,True,True,69.4,7.72,5.59,2.12,7.1,3.85
7936.T,アシックス,その他製品,5281.0,4884.8,4623.8,True,True,-,21.3,30.5,16.0,True,False,65.3,111.82,84.38,27.44,233.1,3.85
4680.T,ラウンドワン,サービス業,1339.5,1264.8,1074.8,True,True,-,21.0,19.6,13.7,True,False,61.5,40.32,36.78,3.54,70.5,3.84
4205.T,日本ゼオン,化学,2455.0,2312.6,2230.9,True,True,-,21.0,29.4,15.4,True,True,64.4,51.5,33.87,17.63,69.7,3.84
6752.T,パナソニック　ホールディングス,電気機器,4721.0,4216.8,3966.5,True,True,-,20.7,36.1,18.8,True,False,63.3,141.59,68.47,73.11,235.0,3.83
3635.T,コーエーテクモホールディングス,情報・通信業,1666.0,1588.2,1539.8,True,True,-,20.8,30.1,19.8,True,False,59.9,28.23,20.77,7.46,48.0,3.83
9076.T,セイノーホールディングス,陸運業,2776.0,2693.9,2633.5,True,True,-,20.8,27.2,11.2,True,True,61.4,24.74,11.44,13.3,61.8,3.83
9508.T,九州電力,電気・ガス業,1872.5,1797.3,1720.2,True,True,-,20.8,24.2,11.9,True,True,65.7,32.93,30.42,2.51,44.6,3.83
6988.T,日東電工,化学,3577.0,3400.5,3198.6,True,True,-,20.4,26.6,15.2,True,True,66.2,87.97,78.28,9.69,99.0,3.82
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,保険業,4836.0,4781.7,4496.5,True,True,-,20.6,29.4,22.1,True,False,56.4,67.45,87.38,-19.94,103.4,3.82
8377.T,ほくほくフィナンシャルグループ,銀行業,8592.0,7762.8,6958.6,True,True,-,19.9,34.9,18.4,True,False,68.4,323.6,254.34,69.26,309.3,3.8
2809.T,キユーピー,食料品,4645.0,4576.3,4291.7,True,True,-,19.9,26.0,16.8,True,False,55.9,57.11,63.69,-6.58,113.7,3.8
3401.T,帝人,繊維製品,1762.0,1701.4,1654.3,True,True,-,20.0,32.0,14.8,True,True,60.3,25.1,15.36,9.74,51.0,3.8
5831.T,しずおかフィナンシャルグループ,銀行業,3513.0,3317.9,3088.4,True,True,-,19.7,31.3,16.5,True,False,64.6,71.91,51.29,20.62,107.9,3.79
8056.T,ＢＩＰＲＯＧＹ,情報・通信業,4653.0,4651.3,4536.1,True,True,-,19.8,31.5,28.6,True,False,52.2,-8.94,11.81,-20.75,172.5,3.79
3923.T,ラクス,情報・通信業,1175.0,1047.5,971.1,True,True,-,19.2,33.1,14.9,True,True,72.0,38.18,27.04,11.14,46.1,3.77
9449.T,ＧＭＯインターネットグループ,情報・通信業,4343.0,4119.0,3550.3,True,True,-,44.3,29.1,10.0,False,False,71.8,149.74,159.67,-9.93,132.1,3.77
3349.T,コスモス薬品,小売業,6584.0,6427.9,6216.0,True,True,-,19.2,24.8,16.2,True,False,55.6,52.66,49.76,2.89,226.0,3.77
7988.T,ニフコ,化学,5112.0,5108.6,4731.1,True,True,-,19.1,17.6,16.2,True,False,54.1,39.1,59.53,-20.43,134.7,3.76
8604.T,野村ホールディングス,証券、商品先物取引業,1570.0,1564.1,1420.9,True,True,-,18.7,28.1,21.3,True,False,55.0,18.43,21.79,-3.36,41.1,3.75
8334.T,群馬銀行,銀行業,2765.0,2582.9,2386.1,True,True,-,18.6,31.6,17.7,True,False,68.2,69.71,53.29,16.42,73.8,3.74
3107.T,ダイワボウホールディングス,卸売業,3790.0,3576.8,3468.6,True,True,-,18.5,28.2,17.0,True,True,66.3,83.81,68.64,15.17,84.6,3.74
9509.T,北海道電力,電気・ガス業,1043.5,1016.4,971.0,True,True,-,18.4,15.8,10.4,True,False,60.9,15.68,16.38,-0.7,26.4,3.74
8306.T,三菱ＵＦＪフィナンシャル・グループ,銀行業,3686.0,3610.8,3282.5,True,True,-,18.3,30.1,20.6,True,False,58.9,55.94,59.15,-3.21,98.4,3.73
7276.T,小糸製作所,電気機器,2718.5,2605.9,2671.6,True,False,接近中,18.1,23.9,17.2,True,False,60.4,32.04,18.45,13.59,65.4,3.72
