code,ticker,name,market,sector33_code,sector33,size_code,size
9009,9009.T,京成電鉄,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9020,9020.T,東日本旅客鉄道,プライム（内国株式）,5050,陸運業,2,TOPIX Large70
9021,9021.T,西日本旅客鉄道,プライム（内国株式）,5050,陸運業,2,TOPIX Large70
9022,9022.T,東海旅客鉄道,プライム（内国株式）,5050,陸運業,2,TOPIX Large70
9023,9023.T,東京地下鉄,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9024,9024.T,西武ホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9031,9031.T,西日本鉄道,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9041,9041.T,近鉄グループホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9042,9042.T,阪急阪神ホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9044,9044.T,ＮＡＮＫＡＩ,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9045,9045.T,京阪ホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9048,9048.T,名古屋鉄道,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9064,9064.T,ヤマトホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9065,9065.T,山九,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9069,9069.T,センコーグループホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9072,9072.T,ニッコンホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9076,9076.T,セイノーホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9101,9101.T,日本郵船,プライム（内国株式）,5100,海運業,2,TOPIX Large70
9104,9104.T,商船三井,プライム（内国株式）,5100,海運業,2,TOPIX Large70
9107,9107.T,川崎汽船,プライム（内国株式）,5100,海運業,4,TOPIX Mid400
9142,9142.T,九州旅客鉄道,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9143,9143.T,ＳＧホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9147,9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,5050,陸運業,4,TOPIX Mid400
9201,9201.T,日本航空,プライム（内国株式）,5150,空運業,4,TOPIX Mid400
9202,9202.T,ＡＮＡホールディングス,プライム（内国株式）,5150,空運業,2,TOPIX Large70
9301,9301.T,三菱倉庫,プライム（内国株式）,5200,倉庫・運輸関連業,4,TOPIX Mid400
9302,9302.T,三井倉庫ホールディングス,プライム（内国株式）,5200,倉庫・運輸関連業,4,TOPIX Mid400
9364,9364.T,上組,プライム（内国株式）,5200,倉庫・運輸関連業,4,TOPIX Mid400
9401,9401.T,ＴＢＳホールディングス,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9404,9404.T,日本テレビホールディングス,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9432,9432.T,ＮＴＴ,プライム（内国株式）,5250,情報・通信業,1,TOPIX Core30
9433,9433.T,ＫＤＤＩ,プライム（内国株式）,5250,情報・通信業,1,TOPIX Core30
9434,9434.T,ソフトバンク,プライム（内国株式）,5250,情報・通信業,1,TOPIX Core30
9435,9435.T,光通信,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9449,9449.T,ＧＭＯインターネットグループ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9468,9468.T,ＫＡＤＯＫＡＷＡ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9501,9501.T,東京電力ホールディングス,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9502,9502.T,中部電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9503,9503.T,関西電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9504,9504.T,中国電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9505,9505.T,北陸電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9506,9506.T,東北電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9507,9507.T,四国電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9508,9508.T,九州電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9509,9509.T,北海道電力,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9513,9513.T,電源開発,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9531,9531.T,東京瓦斯,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9532,9532.T,大阪瓦斯,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9533,9533.T,東邦瓦斯,プライム（内国株式）,4050,電気・ガス業,4,TOPIX Mid400
9602,9602.T,東宝,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9616,9616.T,共立メンテナンス,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
9627,9627.T,アインホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
9684,9684.T,スクウェア・エニックス・ホールディングス,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9697,9697.T,カプコン,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9706,9706.T,日本空港ビルデング,プライム（内国株式）,8050,不動産業,4,TOPIX Mid400
9735,9735.T,セコム,プライム（内国株式）,9050,サービス業,2,TOPIX Large70
9744,9744.T,メイテックグループホールディングス,プライム（内国株式）,9050,サービス業,4,TOPIX Mid400
9759,9759.T,ＮＳＤ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9766,9766.T,コナミグループ,プライム（内国株式）,5250,情報・通信業,4,TOPIX Mid400
9831,9831.T,ヤマダホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
9843,9843.T,ニトリホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
9861,9861.T,吉野家ホールディングス,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
9934,9934.T,因幡電機産業,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
9962,9962.T,ミスミグループ本社,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
9983,9983.T,ファーストリテイリング,プライム（内国株式）,6100,小売業,1,TOPIX Core30
9984,9984.T,ソフトバンクグループ,プライム（内国株式）,5250,情報・通信業,1,TOPIX Core30
9987,9987.T,スズケン,プライム（内国株式）,6050,卸売業,4,TOPIX Mid400
9989,9989.T,サンドラッグ,プライム（内国株式）,6100,小売業,4,TOPIX Mid400
